# ----------------------------------------,,,,,
# www.techism.de,,,,,
# Pages,,,,,
# 20101001-20120315,,,,,
# ----------------------------------------,,,,,
,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/events/tags/mogdy/,5,5,00:00:17,100.00%,60.00%
/events/tags/munich/,5,5,00:00:13,0.00%,20.00%
/events/tags/musik/,5,4,00:00:07,0.00%,0.00%
/events/tags/nerdmare/,5,3,00:00:12,0.00%,20.00%
/events/tags/online marketing/,5,3,00:00:04,0.00%,0.00%
/events/tags/perl/,5,5,00:00:09,0.00%,20.00%
/events/tags/personal manufacturing/,5,5,00:00:00,100.00%,100.00%
/events/tags/pizza/,5,2,00:00:05,0.00%,0.00%
/events/tags/powershell/,5,4,00:00:41,0.00%,0.00%
/events/tags/quantified self/,5,4,00:00:07,0.00%,0.00%
/events/tags/security/,5,5,00:00:04,100.00%,20.00%
/events/tags/user group/,5,4,00:00:06,0.00%,20.00%
/events/tags/virtualization/,5,4,00:00:03,0.00%,40.00%
/events/tags/web service/,5,5,00:00:04,0.00%,20.00%
/events/tags/wiki/,5,5,00:00:10,0.00%,20.00%
